scenario,baseline,seed,regularization,iterations,regularization_param,iterations_param,rmse,rmse_percent,coverage,coverage_percent,mean_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.35,2,transport_strength,hmc_steps,24.3072566986084,51.92499923706055,0.7179999947547913,71.80000305175781,200.00001525878906,1.9739177227020264,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.35,2,transport_strength,hmc_steps,25.424360275268555,54.31135177612305,0.7200000286102295,72.0,200.00001525878906,2.0317554473876953,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.35,4,transport_strength,hmc_steps,23.786149978637695,50.81181716918945,0.7409999966621399,74.0999984741211,200.00001525878906,3.6094741821289062,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.35,4,transport_strength,hmc_steps,24.39604377746582,52.11466979980469,0.7350000143051147,73.5,200.00001525878906,3.435227155685425,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.35,4,transport_strength,hmc_steps,25.339923858642578,54.130977630615234,0.7110000252723694,71.10000610351562,200.00001525878906,3.5472450256347656,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.35,4,transport_strength,hmc_steps,24.614229202270508,52.580753326416016,0.722000002861023,72.19999694824219,200.00001525878906,3.758875846862793,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.35,4,transport_strength,hmc_steps,25.43852996826172,54.34162139892578,0.6980000138282776,69.80000305175781,200.00001525878906,3.5969085693359375,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.5,1,transport_strength,hmc_steps,27.362611770629883,58.45183181762695,0.5590000152587891,55.900001525878906,200.00001525878906,1.1288533210754395,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.5,1,transport_strength,hmc_steps,26.38688087463379,56.36747741699219,0.5440000295639038,54.400001525878906,200.00001525878906,1.2314324378967285,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.5,1,transport_strength,hmc_steps,28.43709373474121,60.747135162353516,0.5180000066757202,51.79999923706055,200.00001525878906,1.0887432098388672,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.5,1,transport_strength,hmc_steps,29.179433822631836,62.33291244506836,0.5130000114440918,51.30000305175781,200.00001525878906,1.0919528007507324,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.5,1,transport_strength,hmc_steps,26.56155014038086,56.74060821533203,0.5540000200271606,55.400001525878906,200.00001525878906,1.0855119228363037,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.5,2,transport_strength,hmc_steps,27.608001708984375,58.97603225708008,0.5370000004768372,53.70000076293945,200.00001525878906,1.8939480781555176,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.5,2,transport_strength,hmc_steps,27.068273544311523,57.82306671142578,0.5509999990463257,55.099998474121094,200.00001525878906,1.8032495975494385,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.5,2,transport_strength,hmc_steps,27.245681762695312,58.20204544067383,0.5540000200271606,55.400001525878906,200.00001525878906,1.9695231914520264,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.5,2,transport_strength,hmc_steps,27.723630905151367,59.22303771972656,0.5389999747276306,53.89999771118164,200.00001525878906,1.8495368957519531,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.5,2,transport_strength,hmc_steps,26.86455726623535,57.38789367675781,0.5339999794960022,53.39999771118164,200.00001525878906,1.9742553234100342,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.5,4,transport_strength,hmc_steps,26.595739364624023,56.81364440917969,0.5540000200271606,55.400001525878906,200.00001525878906,3.393831491470337,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.5,4,transport_strength,hmc_steps,27.899805068969727,59.59938049316406,0.5180000066757202,51.79999923706055,200.00001525878906,3.3206748962402344,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.5,4,transport_strength,hmc_steps,27.439634323120117,58.616363525390625,0.5270000100135803,52.70000076293945,200.00001525878906,3.4821739196777344,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.5,4,transport_strength,hmc_steps,27.35625457763672,58.43825149536133,0.5529999732971191,55.29999542236328,200.00001525878906,3.4786980152130127,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.5,4,transport_strength,hmc_steps,26.029356002807617,55.603736877441406,0.5640000104904175,56.400001525878906,200.00001525878906,3.399548053741455,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.05,20,epsilon,sinkhorn_iters,28.462554931640625,60.80152130126953,0.24799999594688416,24.799999237060547,200.00001525878906,2.9734883308410645,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.05,20,epsilon,sinkhorn_iters,29.374496459960938,62.74960708618164,0.22200000286102295,22.200000762939453,200.00001525878906,2.58541202545166,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.05,20,epsilon,sinkhorn_iters,30.124013900756836,64.35072326660156,0.23800000548362732,23.80000114440918,200.00001525878906,2.6098074913024902,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.05,20,epsilon,sinkhorn_iters,29.01297950744629,61.977333068847656,0.26600000262260437,26.600000381469727,200.00001525878906,2.5970683097839355,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,0.05,20,epsilon,sinkhorn_iters,29.37053108215332,62.74113845825195,0.22499999403953552,22.5,200.00001525878906,2.6923813819885254,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.05,50,epsilon,sinkhorn_iters,30.284345626831055,64.69322204589844,0.46299999952316284,46.29999923706055,200.00001525878906,6.6120688915252686,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.05,50,epsilon,sinkhorn_iters,29.314571380615234,62.6215934753418,0.5189999938011169,51.89999771118164,200.00001525878906,6.378328800201416,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.05,50,epsilon,sinkhorn_iters,29.24645233154297,62.476078033447266,0.5059999823570251,50.599998474121094,200.00001525878906,6.137523651123047,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.05,50,epsilon,sinkhorn_iters,31.17746925354004,66.60110473632812,0.5040000081062317,50.400001525878906,200.00001525878906,6.404298782348633,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,0.05,50,epsilon,sinkhorn_iters,29.718673706054688,63.48483657836914,0.5059999823570251,50.599998474121094,200.00001525878906,6.336623907089233,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.05,100,epsilon,sinkhorn_iters,30.54436492919922,65.24867248535156,0.4779999852180481,47.79999923706055,200.00001525878906,12.838907241821289,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.05,100,epsilon,sinkhorn_iters,30.75375747680664,65.69597625732422,0.49399998784065247,49.39999771118164,200.00001525878906,12.679419755935669,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.05,100,epsilon,sinkhorn_iters,31.80154037475586,67.93424224853516,0.5109999775886536,51.099998474121094,200.00001525878906,12.779655933380127,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.05,100,epsilon,sinkhorn_iters,30.823396682739258,65.84473419189453,0.5070000290870667,50.70000457763672,200.00001525878906,12.540613412857056,0.0
sigmaV2_10_sigmaW2_1,DPFOT,55,0.05,100,epsilon,sinkhorn_iters,31.252716064453125,66.7618408203125,0.503000020980835,50.30000305175781,200.00001525878906,12.871843338012695,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,0.1,20,epsilon,sinkhorn_iters,28.252986907958984,60.353843688964844,0.453000009059906,45.29999923706055,200.00001525878906,2.64131236076355,0.0
sigmaV2_10_sigmaW2_1,DPFOT,22,0.1,20,epsilon,sinkhorn_iters,29.03494644165039,62.024261474609375,0.4659999907016754,46.599998474121094,200.00001525878906,2.5048208236694336,0.0
sigmaV2_10_sigmaW2_1,DPFOT,33,0.1,20,epsilon,sinkhorn_iters,29.410934448242188,62.82744598388672,0.4440000057220459,44.400001525878906,200.00001525878906,2.7968339920043945,0.0
sigmaV2_10_sigmaW2_1,DPFOT,44,0.1,20,epsilon,sinkhorn_iters,31.64779281616211,67.60580444335938,0.4690000116825104,46.900001525878906,200.00001525878906,2.6367385387420654,0.0
