scenario,baseline,seed,transport_strength,rmse,mean_ess,runtime_sec,acceptance_or_resample_mean
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,22,0.15,26.092575073242188,200.00001525878906,1.498964786529541,0.6194166541099548
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,33,0.15,25.838571548461914,200.00001525878906,1.4848215579986572,0.625166654586792
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,44,0.15,25.97614860534668,200.00001525878906,1.567026138305664,0.6233833432197571
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,55,0.15,25.37614631652832,200.00001525878906,1.4791181087493896,0.6289166212081909
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,11,0.35,25.97681427001953,200.00001525878906,1.4934680461883545,0.6668666005134583
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,22,0.35,25.58673095703125,200.00001525878906,1.5416057109832764,0.6695166230201721
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,33,0.35,24.510576248168945,200.00001525878906,1.624999761581421,0.6721166372299194
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,44,0.35,26.18145751953125,200.00001525878906,1.4876773357391357,0.6672332882881165
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,55,0.35,26.5522518157959,200.00001525878906,1.5855631828308105,0.664316713809967
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,11,0.55,29.1805362701416,200.00001525878906,1.4717297554016113,0.6758000254631042
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,22,0.55,30.937171936035156,200.00001525878906,1.566500186920166,0.6698499917984009
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,33,0.55,30.949752807617188,200.00001525878906,1.5346784591674805,0.6646834015846252
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,44,0.55,29.767927169799805,200.00001525878906,1.6341357231140137,0.677733302116394
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,55,0.55,31.907623291015625,200.00001525878906,1.6546683311462402,0.663800060749054
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,11,0.15,16.968095779418945,200.00001525878906,2.711545944213867,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,22,0.15,17.03557014465332,200.00001525878906,2.8609094619750977,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,33,0.15,16.93071174621582,200.00001525878906,2.825556516647339,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,44,0.15,16.878082275390625,200.00001525878906,2.8795955181121826,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,55,0.15,16.529987335205078,200.00001525878906,2.8481645584106445,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,11,0.35,17.503267288208008,200.00001525878906,2.8686282634735107,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,22,0.35,17.443422317504883,200.00001525878906,3.1309797763824463,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,33,0.35,17.333480834960938,200.00001525878906,2.9917774200439453,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,44,0.35,17.152631759643555,200.00001525878906,2.902975559234619,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,55,0.35,17.608173370361328,200.00001525878906,3.183192014694214,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,11,0.55,18.29969024658203,200.00001525878906,2.8070662021636963,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,22,0.55,18.27163314819336,200.00001525878906,2.8670654296875,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,33,0.55,18.329376220703125,200.00001525878906,2.8173999786376953,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,44,0.55,18.28032684326172,200.00001525878906,2.760930299758911,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,55,0.55,18.231212615966797,200.00001525878906,2.7648704051971436,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,11,0.15,16.927452087402344,200.00001525878906,0.5025124549865723,0.9825000166893005
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,22,0.15,17.081195831298828,200.00001525878906,0.5060033798217773,0.981950044631958
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,33,0.15,16.909404754638672,200.00001525878906,0.5019969940185547,0.982900083065033
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,44,0.15,16.91244125366211,200.00001525878906,0.6186323165893555,0.9822499752044678
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,55,0.15,16.6081600189209,200.00001525878906,0.5070009231567383,0.9838000535964966
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,11,0.35,17.580305099487305,200.00001525878906,0.5035886764526367,0.9836000204086304
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,22,0.35,17.68168067932129,200.00001525878906,0.5148720741271973,0.9831500053405762
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,33,0.35,17.196334838867188,200.00001525878906,0.5029573440551758,0.9830499887466431
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,44,0.35,17.270145416259766,200.00001525878906,0.5045266151428223,0.9833000302314758
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,55,0.35,17.6789493560791,200.00001525878906,0.49486827850341797,0.9843000173568726
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,11,0.55,18.302106857299805,200.00001525878906,0.49623656272888184,0.9826000332832336
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,22,0.55,18.218366622924805,200.00001525878906,0.6197991371154785,0.98294997215271
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,33,0.55,17.95037078857422,200.00001525878906,0.4967215061187744,0.98294997215271
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,44,0.55,18.253841400146484,200.00001525878906,0.5030183792114258,0.9836000204086304
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,55,0.55,18.16569709777832,200.00001525878906,0.5137863159179688,0.9836999773979187
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,11,0.15,35.393341064453125,200.00001525878906,2.7689380645751953,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,22,0.15,35.102516174316406,200.00001525878906,2.6803786754608154,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,33,0.15,35.95255661010742,200.00001525878906,2.806332588195801,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,44,0.15,35.16132354736328,200.00001525878906,2.82478404045105,1.0
