scenario,baseline,seed,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_1,DPFS,11,0.0,0.0,1.000000227689743,1.3177345474907052e-07
sigmaV2_10_sigmaW2_1,DPFS,22,0.0,0.0,1.0000002264976502,9.000103992546499e-08
sigmaV2_10_sigmaW2_1,DPFS,33,0.0,0.0,1.000000227689743,1.4013557767725388e-07
sigmaV2_10_sigmaW2_1,DPFS,44,0.0,0.0,1.0000002431869506,1.4976786398448382e-07
sigmaV2_10_sigmaW2_1,DPFS,55,0.0,0.0,1.0000002110004425,9.055983798651076e-08
sigmaV2_10_sigmaW2_1,DPFOT,11,39.277571525573734,12.2134735020265,211378210.655,228816166.13770267
sigmaV2_10_sigmaW2_1,DPFOT,22,40.34138299942017,10.980579633937888,256569116.78804687,257279738.12580568
sigmaV2_10_sigmaW2_1,DPFOT,33,37.408080654144285,9.221374583897468,249712264.48226562,287175909.9013845
sigmaV2_10_sigmaW2_1,DPFOT,44,35.776245250701905,9.873979893149324,226188791.56195313,277987047.10718524
sigmaV2_10_sigmaW2_1,DPFOT,55,36.04508846282959,10.52308303620824,192302935.10875,227655036.1859962
sigmaV2_10_sigmaW2_1,DPFOT-HMC,11,35.74751434326172,10.830888906130344,185718770.3209741,209660650.48976222
sigmaV2_10_sigmaW2_1,DPFOT-HMC,22,35.803328132629396,11.556104672555518,230836478.84964845,250236669.53498423
sigmaV2_10_sigmaW2_1,DPFOT-HMC,33,33.81928699493408,9.34965265621864,214809929.89481446,250391619.24916238
sigmaV2_10_sigmaW2_1,DPFOT-HMC,44,37.7124746131897,11.997013537686227,217619392.0325,220718186.00737283
sigmaV2_10_sigmaW2_1,DPFOT-HMC,55,35.899570560455324,10.397971850362977,218576827.9446875,265224056.06590316
sigmaV2_10_sigmaW2_1,IPFPF,11,0.0,0.0,1.000000147819519,8.106231689453124e-08
sigmaV2_10_sigmaW2_1,IPFPF,22,0.0,0.0,1.0000001573562622,8.23838832052755e-08
sigmaV2_10_sigmaW2_1,IPFPF,33,0.0,0.0,1.0000001633167266,7.474146766384714e-08
sigmaV2_10_sigmaW2_1,IPFPF,44,0.0,0.0,1.0000001561641694,7.852445390403011e-08
sigmaV2_10_sigmaW2_1,IPFPF,55,0.0,0.0,1.0000001692771912,8.289975476605277e-08
sigmaV2_10_sigmaW2_1,SPFSM,11,1.4345260870456695,0.02628471884666752,1.0279885411262513,0.003714573246026814
sigmaV2_10_sigmaW2_1,SPFSM,22,1.4347667050361634,0.025592926934186033,1.0282773387432098,0.0033298122904390957
sigmaV2_10_sigmaW2_1,SPFSM,33,1.4344594705104827,0.0251265431839357,1.02914013504982,0.004265081686079397
sigmaV2_10_sigmaW2_1,SPFSM,44,1.4365926706790924,0.02536669551266744,1.0288269650936126,0.003962958604279551
