scenario,baseline,seed,differentiability_sensitivity,bias_l2,diff_bias_product,flow_magnitude_std,jacobian_conditioning,acceptance_or_resample_mean
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,55,0.37698897090472416,26.5522518157959,10.009906087239989,1.652597495359429,1.0000005292892455,0.664316713809967
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,11,0.27485508125479385,17.503267288208008,4.810861952724787,2.6382809276608876,1.0000030493736267,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,22,0.2576247942315564,17.443422317504883,4.4938580852413335,2.8816139688060756,1.0000039744377136,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,33,0.26604221716881205,17.333480834960938,4.61143767258612,2.7588019324221347,1.0000031197071075,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,44,0.2760898807224524,17.152631759643555,4.735668056596138,2.622008881250088,1.0000035095214843,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,55,0.2716770987472898,17.608173370361328,4.783737455499053,2.6808402497340635,1.000003832578659,1.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,11,0.2736553699927965,17.580305099487305,4.810944896586445,2.654231232613207,1.0000035572052002,0.9836000204086304
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,22,0.2716171972569104,17.68168067932129,4.802648548908913,2.6816520091478053,1.000003869533539,0.9831500053405762
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,33,0.270885156512566,17.196334838867188,4.6582318542690295,2.691601315015617,1.0000038981437682,0.9830499887466431
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,44,0.275014697983338,17.270145416259766,4.749543825781008,2.63616929325205,1.0000034809112548,0.9833000302314758
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,55,0.2747670179118271,17.6789493560791,4.857592194384071,2.6394470035006186,1.0000035095214843,0.9843000173568726
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,11,0.3825407849808437,35.63450241088867,13.63165052466312,1.6141003502412858,1.0000004708766936,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,22,0.3672592508033409,35.02936553955078,12.864858544171787,1.7228721885496565,1.0000004637241364,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,33,0.3585122427356806,35.52155303955078,12.734911645663782,1.7893050244793656,1.0000004839897156,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,44,0.37329703396831476,37.387142181396484,13.956509284866977,1.678831892580425,1.000000478029251,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,55,0.3763444410404647,35.96870803833008,13.536623321633003,1.6571403505664632,1.0000004577636719,1.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,11,0.378478586450671,36.575035095214844,13.842867582220597,1.6421574054635057,1.000000478029251,0.515250027179718
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,22,0.3845182148189201,35.88288497924805,13.797622874773102,1.60065703381809,1.0000004708766936,0.5132499933242798
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,33,0.3883561657217794,35.957733154296875,13.964407375849639,1.5749558994163257,1.0000004863739014,0.508150041103363
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,44,0.3597370751041108,35.95628356933594,12.934808282846907,1.7798080020264577,1.0000004696846008,0.5123000144958496
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,55,0.3781060531062682,37.98115539550781,14.360904759011303,1.644760621483481,1.0000004720687867,0.5178499817848206
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,11,0.3260143534918659,38.85943603515625,12.668733916059983,2.067349609884431,1.000000478029251,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,22,0.337783116705011,38.9283561706543,13.149341475526356,1.9604795223477935,1.0000004804134368,1.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,33,0.35144574303711273,38.79363250732422,13.63385700164525,1.8453894230108794,1.0000004601478576,1.0
