scenario,baseline,regularization,iterations,rmse_mean,rmse_std,ess_mean,ess_std,runtime_sec_mean,runtime_sec_std
sigmaV2_10_sigmaW2_1,DPFOT-HMC,0.12,50,31.64394645690918,1.117768807843095,200.00001525878906,0.0,7.375330829620362,0.08623417264580424
sigmaV2_10_sigmaW2_1,DPFOT-HMC,0.12,100,33.41403656005859,0.6368856050230497,200.00001525878906,0.0,13.792540979385375,0.1539501220155427
sigmaV2_10_sigmaW2_1,DPFOT-HMC,0.24,20,30.579535675048827,0.6489237414478053,200.00001525878906,0.0,4.197142601013184,0.22256497585683907
sigmaV2_10_sigmaW2_1,DPFOT-HMC,0.24,50,33.26037063598633,0.6172237862957499,200.00001525878906,0.0,7.728621006011963,0.06345286635819088
sigmaV2_10_sigmaW2_1,DPFOT-HMC,0.24,100,37.56495895385742,0.8494392914290233,200.00001525878906,0.0,14.104031085968018,0.4396388057155502
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.2,1,25.348517608642577,0.3447018142709619,200.00001525878906,0.0,0.4176927089691162,0.04715741333942215
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.2,2,25.297427368164062,1.1419727225769833,200.00001525878906,0.0,0.5682796001434326,0.025525932800869084
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.2,4,29.510208892822266,1.6874009296538743,200.00001525878906,0.0,0.9845694065093994,0.04296365152863324
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.35,1,24.581119537353516,0.6995576137732484,200.00001525878906,0.0,0.40103716850280763,0.05090739170111045
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.35,2,29.53896293640137,0.44598653616450395,200.00001525878906,0.0,0.5761526107788086,0.036792951039205
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.35,4,35.839718627929685,0.4840742120711072,200.00001525878906,0.0,1.0330320835113525,0.07193719543514604
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.5,1,27.199709320068358,0.8916798648998958,200.00001525878906,0.0,0.33283309936523436,0.0021606693137594343
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.5,2,33.76406631469727,1.1634792787611385,200.00001525878906,0.0,0.4995121955871582,0.008071648880528757
sigmaV2_10_sigmaW2_10,DPF-GradNet,0.5,4,37.296410369873044,1.4464601347681227,200.00001525878906,0.0,0.801784896850586,0.0031573253788786293
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.2,1,25.434218978881837,0.10610870868494131,200.00001525878906,0.0,1.0386736869812012,0.006509222050802105
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.2,2,25.3216609954834,0.18380472394125827,200.00001525878906,0.0,1.9862037658691407,0.2827158816310463
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.2,4,25.591148376464844,0.41589762617740517,200.00001525878906,0.0,3.5763280391693115,0.040862777120287595
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.35,1,25.273572158813476,1.036271739833393,200.00001525878906,0.0,1.1862219333648683,0.02983941884117927
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.35,2,25.219170379638673,0.826882169616883,200.00001525878906,0.0,2.0307517051696777,0.04199170155689338
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.35,4,24.714975357055664,0.6146015992153331,200.00001525878906,0.0,3.5895461559295656,0.10462085361100722
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.5,1,27.585514068603516,1.07709583645004,200.00001525878906,0.0,1.1252987384796143,0.05533217173697528
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.5,2,27.302029037475585,0.32266564959088473,200.00001525878906,0.0,1.898102617263794,0.06674296655209777
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.5,4,27.06415786743164,0.6655584264554585,200.00001525878906,0.0,3.4149852752685548,0.0602558962072547
sigmaV2_10_sigmaW2_10,DPFOT,0.05,20,30.83504753112793,0.8444271084631592,200.00001525878906,0.0,2.863162565231323,0.14213234569282282
sigmaV2_10_sigmaW2_10,DPFOT,0.05,50,30.59410285949707,0.5675480608054401,200.00001525878906,0.0,6.3608122825622555,0.3648435265307874
sigmaV2_10_sigmaW2_10,DPFOT,0.05,100,30.388245391845704,0.1869935584284814,200.00001525878906,0.0,12.160619974136353,1.1778162260259688
sigmaV2_10_sigmaW2_10,DPFOT,0.1,20,30.183501052856446,0.7882867383305449,200.00001525878906,0.0,2.5663733959197996,0.09487799971054002
sigmaV2_10_sigmaW2_10,DPFOT,0.1,50,29.844917678833006,0.3146565805739835,200.00001525878906,0.0,6.248685026168824,0.18350300971108044
sigmaV2_10_sigmaW2_10,DPFOT,0.1,100,29.788859939575197,0.24428039316521288,200.00001525878906,0.0,12.924118995666504,0.7872848434204621
sigmaV2_10_sigmaW2_10,DPFOT,0.2,20,29.85121841430664,0.3443613624367757,200.00001525878906,0.0,2.7647817134857178,0.042212098919822895
sigmaV2_10_sigmaW2_10,DPFOT,0.2,50,30.117270278930665,0.26601529107209826,200.00001525878906,0.0,6.308506679534912,0.1821397571166
sigmaV2_10_sigmaW2_10,DPFOT,0.2,100,31.28421821594238,0.8992774376505994,200.00001525878906,0.0,12.771077251434326,0.6530869831193905
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.06,20,29.326185607910155,0.36177580194196407,200.00001525878906,0.0,4.024595117568969,0.11724728777897683
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.06,50,29.264956665039062,0.25641653905587575,200.00001525878906,0.0,7.592208909988403,0.16942114152472407
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.06,100,29.702209854125975,0.36888227677890784,200.00001525878906,0.0,13.780986976623534,0.20209465413732844
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.12,20,29.23258285522461,0.2817339953376704,200.00001525878906,0.0,3.8954957008361815,0.10120657170508494
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.12,50,29.436785888671874,0.16641454865987398,200.00001525878906,0.0,7.6143479347229,0.29199372527320366
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.12,100,29.7853946685791,0.45356569378349293,200.00001525878906,0.0,14.92699122428894,0.9713794107054992
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.24,20,29.42765655517578,0.4796207724184859,200.00001525878906,0.0,4.116141939163208,0.17280516897104753
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.24,50,30.026555252075195,0.4558905967032027,200.00001525878906,0.0,7.526973152160645,0.1849003132146407
sigmaV2_10_sigmaW2_10,DPFOT-HMC,0.24,100,32.384478378295896,1.2263810662780432,200.00001525878906,0.0,14.134624004364014,0.41140167099117303
