scenario,baseline,iteration,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_1,DFPHS,70,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,71,0.0,0.0,1.0000002145767213,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,72,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,73,0.0,0.0,1.0000001668930054,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,74,0.0,0.0,1.0000001907348632,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,75,0.0,0.0,1.0000001907348632,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DFPHS,76,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,77,0.0,0.0,1.0000001668930054,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,78,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,79,0.0,0.0,1.0000003099441528,2.676241912918526e-07
sigmaV2_10_sigmaW2_1,DFPHS,80,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,81,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,82,0.0,0.0,1.000000524520874,4.6231077741778654e-07
sigmaV2_10_sigmaW2_1,DFPHS,83,0.0,0.0,1.000000238418579,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DFPHS,84,0.0,0.0,1.0000002145767213,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,85,0.0,0.0,1.0000001668930054,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DFPHS,86,0.0,0.0,1.0000001907348632,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,87,0.0,0.0,1.0000001907348632,5.840038639982171e-08
sigmaV2_10_sigmaW2_1,DFPHS,88,0.0,0.0,1.0000001192092896,0.0
sigmaV2_10_sigmaW2_1,DFPHS,89,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,90,0.0,0.0,1.0000001907348632,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DFPHS,91,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,92,0.0,0.0,1.000000286102295,1.6170334775746508e-07
sigmaV2_10_sigmaW2_1,DFPHS,93,0.0,0.0,1.000000238418579,1.066240299940009e-07
sigmaV2_10_sigmaW2_1,DFPHS,94,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,95,0.0,0.0,1.0000002145767213,4.76837158203125e-08
sigmaV2_10_sigmaW2_1,DFPHS,96,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,97,0.0,0.0,1.0000001430511474,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DFPHS,98,0.0,0.0,1.0000001907348632,1.430511474609375e-07
sigmaV2_10_sigmaW2_1,DFPHS,99,0.0,0.0,1.0000002145767213,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DFPHS,100,0.0,0.0,1.000000286102295,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,1,15.055426597595215,0.2827925804578706,1.0000003576278687,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,2,12.871954345703125,0.5595026081283345,1.0000004291534423,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,3,10.889166259765625,0.6488475728731131,1.0000004291534423,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,4,8.365052700042725,0.8813380414978935,1.0000004768371582,1.6858739404357614e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,5,9.640101718902589,1.8169675581586557,1.0000004291534423,1.2157009872419322e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,6,15.370283889770509,0.7439725053624561,1.0000003814697265,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,7,11.17543067932129,0.8087540243919423,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,8,10.500956916809082,2.630282453695722,1.0000004053115845,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,9,10.058823204040527,0.4429249948835243,1.000000500679016,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,10,9.171640014648437,0.6230312666814715,1.0000004291534423,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,11,12.345849227905273,0.8415431598488146,1.0000004053115845,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,12,9.93460636138916,0.83054806897545,1.0000004529953004,1.1680077279964342e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,13,10.198120307922363,0.5496729732214131,1.000000524520874,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,14,11.814324378967285,1.335663174642478,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,15,12.247429275512696,0.9256138358424694,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,16,10.943635940551758,0.9144535213698869,1.000000548362732,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,17,9.98472194671631,1.0850872072153568,1.0000004291534423,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,18,10.175862121582032,1.9424327264524524,1.000000524520874,9.536743164062499e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,19,13.454837417602539,0.7640332496389322,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,20,10.436015129089355,1.63116186776032,1.000000500679016,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,21,8.794042205810547,1.6788842527769574,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,22,12.193317031860351,0.7374208080803353,1.0000004529953004,4.76837158203125e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,23,11.69973373413086,1.1074481607445592,1.0000004768371582,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,24,10.394437026977538,1.0527160885592133,1.000000500679016,1.1680077279964342e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,25,9.644185829162598,1.1349246209641275,1.000000548362732,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,26,8.768528652191161,0.7656937745802076,1.0000003814697265,8.920806376395086e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,27,13.723867988586425,0.6316903046561029,1.000000524520874,1.6170334775746508e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,28,9.328998947143555,1.0034989181883087,1.000000500679016,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,29,10.602015113830566,1.4624478874463775,1.0000004053115845,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,30,11.007781028747559,1.5501277469125703,1.000000500679016,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,31,12.401300239562989,1.5455955530277528,1.00000057220459,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,32,11.35910472869873,1.335293860703098,1.000000500679016,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,33,8.898418426513672,0.8688583534623052,1.0000004529953004,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,34,10.581773376464843,1.0637470438656444,1.000000500679016,8.920806376395085e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,35,11.21533203125,1.6145430219408878,1.0000004291534423,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPF-GradNet,36,8.45103578567505,1.421528647671354,1.000000548362732,1.784161275279017e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,37,12.861495208740234,1.2366039522497507,1.0000003814697265,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPF-GradNet,38,10.795252990722656,2.1893378949706044,1.0000004291534423,9.5367431640625e-08
