scenario,baseline,transport_strength,rmse_mean,rmse_std,mean_ess_mean,mean_ess_std,runtime_sec_mean,runtime_sec_std,acceptance_or_resample_mean_mean,acceptance_or_resample_mean_std
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,0.15,39.15080871582031,0.12904923143713237,200.00001525878906,0.0,3.178086757659912,0.09268029651221664,1.0,0.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,0.35,39.006604766845705,0.20298417208289382,200.00001525878906,0.0,3.1440650463104247,0.34205458530117194,1.0,0.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,0.55,39.58478546142578,0.45542913698832566,200.00001525878906,0.0,2.776177167892456,0.029214838102210188,1.0,0.0
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,0.15,39.13922348022461,0.20174889282836922,200.00001525878906,0.0,0.5343981266021729,0.0592979726259412,0.9370000004768372,0.002356261577331176
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,0.35,39.00408096313477,0.3056422243052402,200.00001525878906,0.0,0.5563014507293701,0.05751771402480504,0.9545600295066834,0.0011816582697124947
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,0.55,40.392755126953126,1.2760561571307585,200.00001525878906,0.0,0.5182820796966553,0.03210984675108191,0.9603700160980224,0.001151334533579511
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.15,26.03976974487305,0.330293590809178,200.00001525878906,0.0,2.7766956329345702,0.09424069482509821,1.0,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.35,25.418692779541015,0.32956776101167845,200.00001525878906,0.0,2.771475648880005,0.06280080996825171,1.0,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.55,31.110580444335938,1.447110635740712,200.00001525878906,0.0,2.846913146972656,0.14389550072592638,1.0,0.0
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,0.15,25.816303634643553,0.24349245197012026,200.00001525878906,0.0,1.5201028823852538,0.04030250528224888,0.6234399914741516,0.003432793013282722
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,0.35,25.761566162109375,0.6990518459538699,200.00001525878906,0.0,1.5466628074645996,0.05288565081506833,0.6680099725723266,0.0026338332752853092
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,0.55,30.548602294921874,0.9633176492514528,200.00001525878906,0.0,1.5723424911499024,0.06659066280840614,0.6703733563423157,0.005647570275626135
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.15,26.121799087524415,0.22214382125681492,200.00001525878906,0.0,2.760406255722046,0.05484399820709828,1.0,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.35,24.546161651611328,0.45196943356077973,200.00001525878906,0.0,2.777311897277832,0.05889045260673598,1.0,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,0.55,28.88331527709961,0.45765446009362776,200.00001525878906,0.0,2.7612071990966798,0.03785888974254353,1.0,0.0
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,0.15,26.052763748168946,0.22605657702943216,200.00001525878906,0.0,1.509397315979004,0.03973741553510116,0.8239333033561707,0.0014710036644341557
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,0.35,24.955224990844727,0.514261391416806,200.00001525878906,0.0,1.5109760284423828,0.04209455463590299,0.8603766441345215,0.002198953385206804
