scenario,baseline,seed,rmse,rmse_percent,coverage,coverage_percent,mean_ess,final_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_10,DPF-GradNet,33,25.398073196411133,25.398073196411133,0.7149999737739563,71.5,200.00001525878906,200.00001525878906,0.3882005214691162,0.0
sigmaV2_10_sigmaW2_10,DPF-GradNet,44,23.984434127807617,23.984434127807617,0.734000027179718,73.4000015258789,200.00001525878906,200.00001525878906,0.3543121814727783,0.0
sigmaV2_10_sigmaW2_10,DPF-GradNet,55,23.95058250427246,23.95058250427246,0.7300000190734863,73.0,200.00001525878906,200.00001525878906,0.3895421028137207,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,24.976343154907227,24.976343154907227,0.718999981880188,71.9000015258789,200.00001525878906,200.00001525878906,2.9809701442718506,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,24.52538299560547,24.52538299560547,0.7319999933242798,73.19999694824219,200.00001525878906,200.00001525878906,2.952637195587158,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,24.261146545410156,24.261146545410156,0.7279999852180481,72.79999542236328,200.00001525878906,200.00001525878906,3.276442289352417,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,23.872852325439453,23.872852325439453,0.7419999837875366,74.19999694824219,200.00001525878906,200.00001525878906,2.9964652061462402,0.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,25.095083236694336,25.095083236694336,0.7020000219345093,70.20000457763672,200.00001525878906,200.00001525878906,2.9578757286071777,0.0
sigmaV2_10_sigmaW2_1,DFPHS,11,39.671077728271484,84.7450942993164,0.05000000074505806,5.0,200.00001525878906,200.00001525878906,0.28399229049682617,0.0
sigmaV2_10_sigmaW2_1,DFPHS,22,37.17197036743164,79.4065170288086,0.07599999755620956,7.599999904632568,200.00001525878906,200.00001525878906,0.29587626457214355,0.0
sigmaV2_10_sigmaW2_1,DFPHS,33,38.894432067871094,83.08602905273438,0.052000001072883606,5.200000286102295,200.00001525878906,200.00001525878906,0.2763791084289551,0.0
sigmaV2_10_sigmaW2_1,DFPHS,44,38.27486038208008,81.76250457763672,0.09200000017881393,9.199999809265137,200.00001525878906,200.00001525878906,0.4252927303314209,0.0
sigmaV2_10_sigmaW2_1,DFPHS,55,36.163543701171875,77.25232696533203,0.06800000369548798,6.800000190734863,200.00001525878906,200.00001525878906,0.28809499740600586,0.0
sigmaV2_10_sigmaW2_1,DPFS,11,34.13142013549805,72.91131591796875,0.5849999785423279,58.499996185302734,148.20799255371094,151.99998474121094,0.2563292980194092,0.0
sigmaV2_10_sigmaW2_1,DPFS,22,32.600868225097656,69.64176177978516,0.5910000205039978,59.10000228881836,147.2437286376953,139.99998474121094,0.30300068855285645,0.0
sigmaV2_10_sigmaW2_1,DPFS,33,31.87766456604004,68.09685516357422,0.593999981880188,59.39999771118164,148.337158203125,151.99998474121094,0.3415682315826416,0.0
sigmaV2_10_sigmaW2_1,DPFS,44,32.2188720703125,68.82574462890625,0.5870000123977661,58.70000076293945,148.06463623046875,153.99998474121094,0.2578926086425781,0.0
sigmaV2_10_sigmaW2_1,DPFS,55,31.331684112548828,66.9305419921875,0.5740000009536743,57.400001525878906,148.05613708496094,141.00001525878906,0.30988407135009766,0.0
sigmaV2_10_sigmaW2_1,DPFOT,11,31.9161376953125,68.17904663085938,0.5139999985694885,51.400001525878906,200.00001525878906,200.00001525878906,6.084388732910156,0.0
